source_id,question_number,section_type,primary_target,subtype,secondary_features,sentence_word_count,clause_count,correct_answer,error_span_position,error_span_span_type,error_span_tested_error_type,error_span_error_explanation,error_span_minimal_correction,A_is_error,A_grammatical_role,A_why_plausible_as_test_target,B_is_error,B_grammatical_role,B_why_plausible_as_test_target,C_is_error,C_grammatical_role,C_why_plausible_as_test_target,D_is_error,D_grammatical_role,D_why_plausible_as_test_target,error_location,error_scope,vocabulary_domain,syntactic_complexity,error_detectability,distractor_plausibility,estimated_difficulty_ai,taxonomy_issue,taxonomy_issue_reason
Practice Test B,16,Written Expression,REFERENCE_AND_DETERMINERS,absolute possessive pronoun used where a possessive determiner is required (hers vs. her before a noun),superlative noun phrase 'one of the first',18,2,D,D,pronoun,incorrect_part_of_speech,The absolute possessive pronoun cannot directly precede and modify a noun; a determiner form is required before 'subjects'.,change 'hers' to 'her',False,main_verb,main verb of the first clause; correctly agrees with 'Margaret Mead'.,False,adjective,modifies 'cultures'; correctly formed adjective.,False,noun_phrase,part of the superlative phrase 'one of the first anthropologists'; correctly formed.,True,pronoun,"looks like a normal possessive pronoun, but the absolute form cannot sit directly before the noun it modifies.",sentence_final,local,anthropology,2,2,2,2,False,
Practice Test B,17,Written Expression,VERB_FORM_VOICE,"passive voice auxiliary-participle word order (is sold, not sold is)",appositive phrase describing subject,17,1,C,C,verb_phrase,wrong_word_order,The passive verb phrase reverses the required auxiliary-before-participle order; the auxiliary 'is' must precede the participle 'sold'.,change 'sold is' to 'is sold',False,determiner,introduces the appositive describing talc; correctly formed.,False,noun_phrase,object of 'with' inside the appositive; correctly formed.,True,verb_phrase,"each word is a normal passive-voice component, so only checking their order reveals the reversal.",False,adjective,participial adjective modifying 'form'; correctly formed.,middle,local,mineralogy,2,3,3,2,False,
Practice Test B,18,Written Expression,CONNECTORS_CONJUNCTIONS,comparative exclusion phrase 'rather than' vs. ungrammatical 'instead than',gerund phrase 'burning iron ore',22,2,D,D,conjunction,wrong_preposition_collocation,'Instead' cannot combine with 'than'; the comparative phrase requires 'rather than' (or 'instead of') to contrast the two methods.,change 'instead than' to 'rather than',False,preposition,introduces the time phrase; correctly used.,False,verb_phrase,verb of the embedded clause; correctly formed with modal 'could'.,False,gerund,object of 'by'; correctly formed gerund.,True,conjunction,"sounds like a natural contrastive phrase, but 'instead' is not grammatical when directly followed by 'than'.",sentence_final,local,metallurgy/industrial history,2,2,2,2,False,
Practice Test B,19,Written Expression,NONFINITE_VERB_PHRASES,"infinitive of purpose required instead of gerund after 'to' (to study, not to studying)",quantifier phrase 'a number of',18,1,D,D,infinitive_phrase,wrong_verb_form,"The instruments' purpose is expressed with an infinitive ('to study'), but a gerund form follows 'to' instead, which is only correct if 'to' were a preposition, not an infinitive marker here.",change 'to studying' to 'to study',False,subject,subject of the sentence; correctly plural.,False,verb_phrase,prepositional verb 'rely on'; correctly formed.,False,quantifier,quantifying phrase before 'instruments'; correctly formed.,True,verb_phrase,"looks like a normal gerund object, obscuring that the preceding 'to' here functions as an infinitive marker of purpose.",late,local,volcanology,2,2,2,2,False,
Practice Test B,20,Written Expression,RELATIVE_CLAUSES,relative pronoun choice (who vs. which) for a non-human antecedent,"inverted sentence structure (fronted complement, subject-verb inversion)",21,2,D,D,relative_marker,incorrect_relative_marker,"The relative clause modifies 'the laws of motion', a non-human antecedent, so 'which' or 'that' is required rather than the person-referring pronoun 'who'.",change 'who' to 'which',False,adjective,participial adjective heading the fronted phrase; correctly formed.,False,noun_phrase,coordinate noun phrase in the fronted complement; correctly formed.,False,main_verb,main verb in the inverted construction; correctly agrees with the plural subject 'the laws of motion'.,True,relative_pronoun,"immediately follows a long noun phrase, which could distract from the fact that the antecedent denotes a concept, not a person.",late,sentence_level,physics/history of science,3,2,2,2,False,
Practice Test B,21,Written Expression,NONFINITE_VERB_PHRASES,"finite passive verb used where a reduced passive participial phrase is required (Opened, not Was opened)",reduced participial phrase 'devoted to',22,1,A,A,verb_phrase,wrong_verb_form,"The sentence opener must be a reduced participial phrase modifying 'the Phillips Collection', not a second finite verb, since the sentence's only finite verb is 'was' later on.",change 'Was opened' to 'Opened',True,main_verb,"reads like an ordinary finite passive verb, masking that the sentence needs a non-finite opening modifier instead.",False,main_verb,the sentence's true main verb; correctly agrees with 'the Phillips Collection'.,False,adjective,reduced participial phrase modifying 'museum'; correctly formed.,False,noun_phrase,object of 'to'; correctly formed.,sentence_initial,sentence_level,art/museum history,3,3,3,3,False,
Practice Test B,22,Written Expression,NONFINITE_VERB_PHRASES,"gerund required after the verb 'enjoy' (owning, not to own)",semicolon joining two independent clauses,24,2,D,D,infinitive_phrase,wrong_verb_form,"'Enjoy' obligatorily takes a gerund complement, not an infinitive; the correct form is 'enjoy owning a house'.",change 'to own' to 'owning',False,main_verb,main verb of the first clause; correctly agrees with 'a mortgage'.,False,verb_phrase,infinitive complement of 'enables'; correctly formed since 'enable' takes an infinitive.,False,gerund,object of the preposition 'without'; correctly formed gerund.,True,verb_phrase,"an infinitive looks like a natural way to complete 'able to enjoy', but 'enjoy' specifically requires a gerund complement.",sentence_final,local,finance/economics,2,2,2,2,False,
Practice Test B,23,Written Expression,CONNECTORS_CONJUNCTIONS,comparison preposition 'like' vs. predicate adjective 'alike',coordinate clauses joined by 'but',16,2,A,A,adjective,incorrect_part_of_speech,'Alike' is a predicate adjective that cannot head a phrase before a noun; the preposition 'like' is required to mean 'similar to'.,change 'Alike' to 'Like',True,preposition,"closely related in meaning and spelling to the correct word, making the substitution easy to overlook.",False,main_verb,main verb of the first clause; correctly agrees with 'ethnohistorians'.,False,adverb,adverb linking the coordinate clause; correctly used.,False,noun_phrase,object of 'from'; correctly formed.,sentence_initial,local,anthropology/ethnography,1,2,2,1,False,
Practice Test B,24,Written Expression,COMPARATIVES_DEGREE,double superlative marking (most lowest) with an already-superlative irregular form,,16,1,B,B,comparative_marker,extraneous_element,"'Lowest' is already the irregular superlative of 'low', so adding 'most' creates a redundant double superlative.",change 'most lowest' to 'lowest',False,main_verb,main verb of the sentence; correctly agrees with the subject.,True,adjective,"'most' before an adjective is a normal superlative pattern, which conceals that 'lowest' is already superlative on its own.",False,preposition,introduces the final adverbial phrase; correctly used.,False,noun_phrase,object of 'during'; correctly formed.,middle,local,physiology/medicine,1,1,1,1,False,
Practice Test B,25,Written Expression,REFERENCE_AND_DETERMINERS,possessive determiner required before a noun (its vs. it),,17,1,C,C,pronoun,incorrect_part_of_speech,The subject pronoun 'it' cannot modify the following noun 'use'; the possessive determiner 'its' is required.,change 'it' to 'its',False,subject,head of the subject noun phrase; correctly formed.,False,main_verb,main verb of the sentence; correctly formed present perfect.,True,pronoun,"reads like a normal pronoun referring back to acupuncture, but it wrongly appears in the possessive-determiner slot before a noun.",False,noun_phrase,object of 'in'; correctly formed.,late,local,medicine/alternative medicine,1,1,2,1,False,
