source_id,question_number,section_type,primary_target,subtype,secondary_features,sentence_word_count,clause_count,correct_answer,correct_answer_reason,A_is_correct,A_error_type,A_error_explanation,B_is_correct,B_error_type,B_error_explanation,C_is_correct,C_error_type,C_error_explanation,D_is_correct,D_error_type,D_error_explanation,vocabulary_domain,syntactic_complexity,distractor_similarity,estimated_difficulty_ai,taxonomy_issue,taxonomy_issue_reason
Practice Test B,1,Structure,VERB_COMPLEMENTATION,predicate nominative after linking verb (be + NP),article_usage;reduced_relative_clause_modifying_object,22,1,A,"The correctly articled noun phrase serves as the subject complement of the linking verb 'is', matching the pattern 'is the source of X'.",True,,,False,missing_required_element,"Omits the article before the noun and substitutes 'as', which cannot function as a copular complement marker.",False,extraneous_element,"Adds a relative pronoun ('which') with no following clause, leaving a dangling fragment after the noun.",False,incorrect_subordinator,"Inserts 'because' after the linking verb, which is not licensed by the sentence structure and breaks the complement pattern.",forestry/natural resources,2,3,2,False,
Practice Test B,2,Structure,COMPARATIVES_DEGREE,adjective + enough + to-infinitive result construction,infinitive_of_result;relative_clause_on_subject,18,2,A,"'enough' correctly follows the adjective and precedes the to-infinitive, forming the idiomatic degree + result structure.",True,,,False,wrong_complementation,A bare comparative lacks a comparison object and cannot be followed directly by the infinitive of result.,False,wrong_complementation,"'so + adjective' requires a that-clause to express result, not a bare to-infinitive.",False,wrong_complementation,'as...as' requires an explicit comparison target and is incompatible with the following infinitive.,technology/everyday objects,2,4,3,False,
Practice Test B,3,Structure,NOUN_CLAUSES,embedded question (wh-word) word order,infinitive_purpose_clause,25,2,B,"Normal subject-verb order is preserved inside the embedded noun clause introduced by 'what', as required for indirect questions.",False,wrong_word_order,"Applies direct-question subject-auxiliary inversion inside an embedded clause, where it is not permitted.",True,,,False,wrong_voice,"Switches to passive voice, reversing the logical agent-experiencer relationship intended by the sentence.",False,extraneous_element,"Adds the conjunction 'as', which is not licensed inside the noun clause introduced by 'what'.",education,3,3,3,False,
Practice Test B,4,Structure,VERB_COMPLEMENTATION,object complement after causative verb (make + O + Adj),article_usage,14,1,D,Object pronoun plus bare adjective correctly forms the object-complement pattern required after the causative verb 'makes'.,False,extraneous_element,"Inserts a second finite verb after the causative verb, producing an ungrammatical double predicate.",False,wrong_complementation,"Reinterprets the pronoun as the subject of a new transitive verb, abandoning the required object-complement pattern.",False,incorrect_part_of_speech,"Adds an article before the adjective as though it were a noun, which is ungrammatical for a bare adjective complement.",True,,,physical science/optics,2,4,3,False,
Practice Test B,5,Structure,CLAUSE_STRUCTURE,main clause (subject + finite verb) identification,elliptical_adverbial_clause,10,2,A,"Only this option supplies a genuine subject plus finite verb, forming the sentence's required independent clause.",True,,,False,fragment,"The subordinator 'That' converts the clause into a noun clause, leaving the sentence without an independent main clause.",False,fragment,"The relative pronoun 'who' subordinates the verb into a relative clause modifying the noun, so no main verb remains.",False,fragment,"'For...to' forms a non-finite infinitive phrase, which cannot serve as the sentence's main predicate.",academic biography/science,2,4,3,False,
Practice Test B,6,Structure,RELATIVE_CLAUSES,non-restrictive relative clause with parallel coordinate predicate,parallel_structure_with_coordinate_verb,25,2,B,"The relative pronoun plus linking verb supplies the verb needed to parallel the coordinate verb later in the clause, correctly forming the non-restrictive relative clause.",False,incorrect_relative_marker,"The possessive relative pronoun requires an immediately following noun, which is absent here.",True,,,False,incorrect_relative_marker,This word combination is not a valid relative-clause opener and does not connect grammatically to the main clause.,False,missing_required_element,"Omits the linking verb, leaving the first conjunct without a verb and breaking parallelism with the coordinate verb.",botany,4,3,3,False,
Practice Test B,7,Structure,WORD_ORDER_MODIFICATION,appositive noun phrase placement and internal word order,adjective_noun_order,19,1,D,A correctly ordered article + adjective + noun phrase functions as an appositive describing the sentence's subject.,False,wrong_word_order,Internal word order is faulty and leaves an incomplete relative-clause fragment attached to the noun phrase.,False,extraneous_element,"Inserting a finite verb creates an extra, ungrammatical predicate before the sentence's actual subject and verb.",False,wrong_word_order,Reverses standard adjective-noun order.,True,,,arts/music biography,2,3,2,False,
Practice Test B,8,Structure,ADVERBIAL_CLAUSES,time clause introduced by 'when',relative_clause_on_object;intransitive_verb_complementation,22,3,B,A time adverbial clause correctly introduced by the subordinator modifies the preceding intransitive verb.,False,wrong_complementation,A noun phrase with an embedded relative clause cannot serve as the adverbial complement required by the intransitive verb.,True,,,False,wrong_word_order,Uses inverted question word order where a subordinate declarative clause is required.,False,missing_required_element,A bare participial phrase cannot follow the verb without a subordinating conjunction to connect it.,earth science/paleontology,4,3,3,False,
Practice Test B,9,Structure,CONNECTORS_CONJUNCTIONS,elliptical comparative connector 'as' vs. subordinator/adverb,ellipsis;preposition_vs_conjunction_distinction,15,1,A,The elliptical comparative phrase correctly links the following example to the main clause via a preposition-like connector.,True,,,False,incorrect_subordinator,"Wrongly implies causation and, lacking a subject-verb pair after it, leaves a fragment.",False,missing_required_element,"Requires a following finite clause with a verb, which is missing.",False,incorrect_part_of_speech,An adverb is used where a preposition is needed to govern the following noun phrase.,art/sculpture,2,3,3,False,
Practice Test B,10,Structure,NONFINITE_VERB_PHRASES,reduced passive relative clause (past participle modifying noun),passive_voice;reduced_relative_clause,25,2,D,The past participle correctly forms a reduced passive relative clause modifying the preceding noun.,False,wrong_verb_form,The infinitive wrongly suggests purpose rather than describing something already provided.,False,missing_required_element,Lacks the relative pronoun and auxiliary needed to license a bare 'be + participle' modifier.,False,wrong_voice,The active present participle reverses the intended passive relationship between the noun and the agent.,True,,,government/US history,3,4,3,False,
